Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
TOYOTA,GR COROLLA,1618,300,230,2.5,36995,P,5.0,370
TOYOTA,LAND CRUISER 300,3346,305,210,6.8,58500,P,7.0,650
TOYOTA,TUNDRA I-FORCE MAX,3445,437,180,6.2,56000,H,5.0,750
TOYOTA,COROLLA HATCHBACK XSE,1987,169,190,8.2,25390,P,5.0,250
TOYOTA,MIRAI,2500,152,180,9,49500,HD,5.0,335
TOYOTA,HILUX GR SPORT,2755,224,170,10,50000,P,5.0,500
TOYOTA,ALPHARD EXECUTIVE LOUNGE,2500,296,180,8.5,60000,P,7.0,400
TOYOTA,FORTUNER GR SPORT,2755,204,175,10.5,55000,P,7.0,500
TOYOTA,INNOVA HYCROSS,1987,184,165,9.5,40000,H,7.0,250
TOYOTA,COASTER,4009,134,120,6.5,70000,D,20.0,500
TOYOTA,URBAN CRUISER TAISOR,1490,114,170,11,25000,P,5.0,130
TOYOTA,AYGO X,998,71,160,14.8,18000,P,4.0,93
TOYOTA,HILUX REVO ROCCO,2755,204,175,10,50000,D,5.0,500
TOYOTA,PROACE VERSO ELECTRIC,2500,136,130,13.5,55000,E,7.0,280
TOYOTA,CENTURY SUV,3456,406,200,6,170000,P,5.0,500
TOYOTA,COROLLA SEDAN HYBRID,1798,134,180,10,24000,H,5.0,300
TOYOTA,BZ3,2500,241,160,7.5,35000,E,5.0,340
TOYOTA,GR YARIS,1618,268,230,5.5,45000,P,4.0,390
HYUNDAI,SANTA FE,1600,253,180,9.3,50000,H,7.0,420
HYUNDAI,IONIQ 5,2500,225,185,7.4,41000,E,5.0,350
HYUNDAI,Santa Cruz,2500,281,215,6.5,40799,P,5.0,400
HYUNDAI,Kona,1591,147,185,7.5,20500,H,5.0,400
HYUNDAI,Elantra,2000,147,210,8.3,19950,H,5.0,250
Nissan,Urvan,2500,272,140,14,28000,D,15.0,356
HYUNDAI,IONIQ 6,2500,320,185,5.2,41450,E,5.0,350
HYUNDAI,Tucson,2500,187,180,6.1,30500,H,5.0,400
HYUNDAI,Palisade,3800,291,240,6.3,52000,P,7.0,355
HYUNDAI,Sonata,2500,191,240,8,25000,H,5.0,250
HYUNDAI,Accent,1600,120,180,9.8,15000,P,5.0,151
HYUNDAI,Venue,1600,121,180,9.5,18000,P,5.0,240
HYUNDAI,KONA Electric,2500,200,200,6.1,40000,E,5.0,395
HYUNDAI,Veloster,2000,275,220,6,25000,P,4.0,264
HYUNDAI,NEXO,2500,161,180,7.8,38000,HD,5.0,400
HYUNDAI,Ioniq,1600,139,160,8.5,18000,H,5.0,295
HYUNDAI,Genesis,3800,291,240,6.3,52000,P,5.0,400
HYUNDAI,Azera,3300,278,240,6.5,55000,P,5.0,250
HYUNDAI,Equus,3300,278,240,6.5,55000,P,5.0,400
HYUNDAI,Tiburon,2000,160,200,8.2,19000,P,4.0,320
HYUNDAI,Elantra GT,2000,160,200,8.3,22000,P,5.0,320
Volkswagen,Golf,2500,272,210,8.5,23000,P,5.0,250
Volkswagen,Passat,1984,272,210,7.8,25000,P,5.0,250
Volkswagen,Tiguan,1984,272,209,8.5,28505,H,7.0,300
Volkswagen,Jetta,1498,272,210,7.7,21995,P,5.0,250
Volkswagen,Polo,2500,272,190,9.5,18000,P,5.0,175
Volkswagen,Arteon,1984,272,250,5.6,46000,P,5.0,350
Volkswagen,ID.4,2500,272,160,7.8,39735,E,5.0,310
Volkswagen,Up!,2500,82,160,13,15000,P,4.0,95
Volkswagen,Touareg,2500,272,235,5.9,55000,P,5.0,600
Volkswagen,Scirocco,1984,272,233,6,35000,P,4.0,350
Volkswagen,Beetle,1984,272,205,7,20000,P,4.0,240
Volkswagen,Amarok,2967,272,180,7.9,40000,D,5.0,550
Volkswagen,T-Roc,1984,272,205,7.2,30000,P,5.0,320
Volkswagen,Sharan,1984,272,200,9.3,33000,P,7.0,280
Volkswagen,Caddy,1498,272,185,10.5,28000,P,7.0,250
Nissan,NV1500,3954,261,160,9.5,33000,P,12.0,385
Volkswagen,Taigo,1498,272,183,10,24000,P,5.0,200
Volkswagen,California,1984,272,180,13,70000,D,7.0,340
Volkswagen,ID.3,2500,204,160,7.3,35000,E,5.0,310
Volkswagen,ID. Buzz,2500,204,145,10.2,59995,E,7.0,310
Volkswagen,Golf GTI,1984,245,250,5.9,31965,P,5.0,350
Volkswagen,Golf R,1984,315,250,4.6,44640,P,5.0,420
Volkswagen,Passat Alltrack,1968,272,220,7.8,36000,D,5.0,400
Volkswagen,Polo GTI,1984,204,238,6.7,28000,P,5.0,320
Volkswagen,Up! GTI,999,115,196,8.8,20000,P,4.0,200
Volkswagen,T-Cross,2500,272,200,10.2,25000,P,5.0,250
Volkswagen,ID.5,2500,272,180,8.4,45000,E,5.0,310
Volkswagen,ID. Buzz Cargo,2500,204,145,10.2,55000,E,3.0,310
Volkswagen,Touareg R,2995,462,250,5.1,70000,H,5.0,700
Volkswagen,Multivan,2500,272,190,9.4,50000,H,7.0,350
Volkswagen,Polo BlueMotion,1199,272,190,10.5,22000,D,5.0,250
Volkswagen,Golf Sportsvan,1498,272,210,8.9,30000,P,5.0,250
Volkswagen,Golf Alltrack,1968,272,210,7.1,35000,P,5.0,350
Volkswagen,Scirocco R,1984,280,250,5.5,40000,P,4.0,350
Volkswagen,Tiguan Allspace,1984,272,215,7.6,35000,P,7.0,320
Volkswagen,Arteon 4MOTION,1984,272,250,5.6,48000,P,5.0,350
Volkswagen,ID.4 GTX,2500,299,180,6.2,50000,E,5.0,460
Volkswagen,ID.3 Pro,2500,204,160,7.3,35000,E,5.0,310
Volkswagen,Golf Variant,2500,272,220,7.5,32000,P,5.0,320
Volkswagen,Crafter,1968,272,160,13,40000,D,3.0,410
Volkswagen,Lupo,2500,272,170,14.3,15000,P,4.0,120
Volkswagen,Corrado,2861,190,235,6.4,25000,P,4.0,245
Volkswagen,Phaeton,2500,272,250,6.1,85000,P,5.0,560
Volkswagen,Golf Cabriolet,2500,272,217,8.4,30000,P,4.0,200
Volkswagen,Santana,1498,110,190,12.9,15000,P,5.0,145
Volkswagen,Polo Vivo,2500,272,170,10.8,14000,P,5.0,132
Volkswagen,Karmann Ghia,1192,272,138,23,25000,P,2.0,106
Volkswagen,Fox,2500,272,148,17.5,12000,P,5.0,93
Volkswagen,Vento,1598,272,186,11.7,18000,P,5.0,153
