Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
,818.0,,2755.0,224.0,170.0,10.0,50000.0,,5.0,500.0
,818.0,,2500.0,296.0,180.0,8.5,60000.0,,7.0,400.0
,818.0,,2755.0,204.0,175.0,10.5,55000.0,,7.0,500.0
,818.0,,1987.0,184.0,165.0,9.5,40000.0,,7.0,250.0
,818.0,,4009.0,134.0,120.0,7.1,70000.0,,20.0,500.0
,818.0,,1490.0,114.0,170.0,11.0,25000.0,,5.0,130.0
,818.0,,998.0,71.0,160.0,14.8,18000.0,,4.0,93.0
,818.0,,2755.0,204.0,175.0,10.0,50000.0,,5.0,500.0
,818.0,,2500.0,136.0,130.0,13.5,55000.0,,7.0,280.0
,818.0,,3456.0,406.0,200.0,6.0,170000.0,,5.0,500.0
,818.0,,1798.0,134.0,180.0,10.0,24000.0,,5.0,300.0
,818.0,,2500.0,241.0,160.0,7.5,35000.0,,5.0,340.0
,818.0,,1618.0,268.0,230.0,5.5,45000.0,,4.0,390.0
,818.0,,1600.0,253.0,180.0,9.3,50000.0,,7.0,420.0
,818.0,,2500.0,225.0,185.0,7.4,41000.0,,5.0,350.0
,818.0,,2500.0,281.0,215.0,6.5,40799.0,,5.0,400.0
,818.0,,1591.0,147.0,185.0,7.1,20500.0,,5.0,400.0
,818.0,,2000.0,147.0,210.0,8.3,19950.0,,5.0,250.0
,818.0,,2500.0,272.0,140.0,14.0,28000.0,,15.0,356.0
,818.0,,2500.0,320.0,185.0,5.2,41450.0,,5.0,350.0
,818.0,,2500.0,187.0,180.0,6.1,30500.0,,5.0,400.0
,818.0,,3800.0,291.0,240.0,6.3,52000.0,,7.0,355.0
,818.0,,2500.0,191.0,240.0,8.0,25000.0,,5.0,250.0
,818.0,,1600.0,120.0,180.0,9.8,15000.0,,5.0,151.0
,818.0,,1600.0,121.0,180.0,9.5,18000.0,,5.0,240.0
,818.0,,2500.0,200.0,200.0,6.1,40000.0,,5.0,395.0
,818.0,,2000.0,275.0,220.0,6.0,25000.0,,4.0,264.0
,818.0,,2500.0,161.0,180.0,7.8,38000.0,,5.0,400.0
,818.0,,1600.0,139.0,160.0,8.5,18000.0,,5.0,295.0
,818.0,,3800.0,291.0,240.0,6.3,52000.0,,5.0,400.0
,818.0,,3300.0,278.0,240.0,6.5,55000.0,,5.0,250.0
,818.0,,3300.0,278.0,240.0,6.5,55000.0,,5.0,400.0
,818.0,,2000.0,160.0,200.0,8.2,19000.0,,4.0,320.0
,818.0,,2000.0,160.0,200.0,8.3,22000.0,,5.0,320.0
,818.0,,2500.0,272.0,210.0,8.5,23000.0,,5.0,250.0
,818.0,,1984.0,272.0,210.0,7.8,25000.0,,5.0,250.0
,818.0,,1984.0,272.0,209.0,8.5,28505.0,,7.0,300.0
,818.0,,1498.0,272.0,210.0,7.7,21995.0,,5.0,250.0
,818.0,,2500.0,272.0,190.0,9.5,18000.0,,5.0,175.0
,818.0,,1984.0,272.0,250.0,5.6,46000.0,,5.0,350.0
,818.0,,2500.0,272.0,160.0,7.8,39735.0,,5.0,310.0
,818.0,,2500.0,82.0,160.0,13.0,15000.0,,4.0,95.0
,818.0,,2500.0,272.0,235.0,5.9,55000.0,,5.0,600.0
,818.0,,1984.0,272.0,233.0,6.0,35000.0,,4.0,350.0
,818.0,,1984.0,272.0,205.0,7.0,20000.0,,4.0,240.0
,818.0,,2967.0,272.0,180.0,7.9,40000.0,,5.0,550.0
,818.0,,1984.0,272.0,205.0,7.2,30000.0,,5.0,320.0
,818.0,,1984.0,272.0,200.0,9.3,33000.0,,7.0,280.0
,818.0,,1498.0,272.0,185.0,10.5,28000.0,,7.0,250.0
,818.0,,3954.0,261.0,160.0,9.5,33000.0,,12.0,385.0
,818.0,,1498.0,272.0,183.0,10.0,24000.0,,5.0,200.0
,818.0,,1984.0,272.0,180.0,13.0,70000.0,,7.0,340.0
,818.0,,2500.0,204.0,160.0,7.3,35000.0,,5.0,310.0
,818.0,,2500.0,204.0,145.0,10.2,59995.0,,7.0,310.0
,818.0,,1984.0,245.0,250.0,5.9,31965.0,,5.0,350.0
,818.0,,1984.0,315.0,250.0,4.6,44640.0,,5.0,420.0
,818.0,,1968.0,272.0,220.0,7.8,36000.0,,5.0,400.0
