Company/Brand,Car Name,Battery_CC,Battery_kWh,Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm),Torque
TOYOTA,CAMRY,3500,,301,220,6,27000,H,5,250,250 Nm
TOYOTA,COROLLA,1798,,139,180,9.4,22500,H,5,200,200 Nm
TOYOTA,PRIUS,1798,,121,180,10.5,26700,H,5,142,142 Nm
TOYOTA,RAV4,2494,,203,200,8.1,27100,H,5,400,400 Nm
TOYOTA,HIGHLANDER,3456,,295,220,7.2,38400,H,7,370,370 Nm
TOYOTA,4RUNNER,3956,,270,200,7.5,37400,P,5,400,400 Nm
TOYOTA,TACOMA,2694,,159,180,9.5,26400,P,5,400,400 Nm
TOYOTA,TUNDRA,5663,,381,220,6.7,39900,P,5,650,650 Nm
TOYOTA,AVALON,3456,,301,220,6.9,41400,P,5,400,400 Nm
TOYOTA,MIRAI,1798,,151,180,9.2,52400,HD,5,335,335 Nm
TOYOTA,SIENNA,2494,,245,190,8,44150,H,7,360,360 Nm
TOYOTA,VENZA,2494,,219,200,7.5,33400,H,5,400,400 Nm
TOYOTA,HIGHLANDER HYBRID,3456,,240,220,8.2,40400,H,7,350,350 Nm
TOYOTA,LAND CRUISER PRADO,3956,,282,200,7.2,49400,P,7,450,450 Nm
TOYOTA,TUNDRA HYBRID,3456,,344,220,6.2,43400,H,5,650,650 Nm
TOYOTA,YARIS,1496,,106,180,11.2,18400,P,5,150,150 Nm
TOYOTA,C-HR,1986,,144,200,10.2,24400,H,5,250,250 Nm
TOYOTA,BZ4X,,68.8,218,200,7.5,43400,E,5,330,330 Nm
TOYOTA,CROWN,2494,,236,200,7.6,38400,H,5,400,400 Nm
TOYOTA,MR2,1986,,168,200,6.9,29000,P,2,400,400 Nm
TOYOTA,CELICA,1986,,140,200,8.5,25000,P,5,250,250 Nm
HONDA,CITY,1497,,119,180,10.2,15400,H,5,145,145 Nm
HONDA,CIVIC,1996,,158,200,8.5,20400,P,5,400,400 Nm
HYUNDAI,I10,1197,,87,160,12.2,12400,P,5,120,120 Nm
HYUNDAI,I20,1396,,99,180,10.5,15400,H,5,250,250 Nm
HYUNDAI,ELANTRA,1999,,147,200,9.5,18400,H,5,250,250 Nm
MAHINDRA,XUV500,2179,,155,180,10.5,18400,D,7,400,400 Nm
MAHINDRA,SCORPIO,2179,,140,160,11.2,16400,D,7,280,280 Nm
MAHINDRA,THAR,1997,,150,180,10.5,20400,P,4,320,320 Nm
MARUTI SUZUKI,SWIFT,1197,,83,160,12.2,10400,P,5,113,113 Nm
MARUTI SUZUKI,DZIRE,1197,,83,160,12.2,11400,P,5,113,113 Nm
MARUTI SUZUKI,BREZZA,1462,,103,180,11.5,14400,P,5,200,200 Nm
TOYOTA,PRIUS PRIME,1998,,220,180,6.7,31100,,5,220,220 Nm
TOYOTA,GR COROLLA,1618,,300,230,2.5,36995,P,5,370,370 Nm
TOYOTA,LAND CRUISER 300,3346,,305,210,6.8,58500,P,7,650,650 Nm
TOYOTA,TUNDRA I-FORCE MAX,3445,,437,180,6.2,56000,H,5,750,750 Nm
TOYOTA,COROLLA HATCHBACK XSE,1987,,169,190,8.2,25390,P,5,250,250 Nm
TOYOTA,MIRAI,,1.24,152,180,9,49500,HD,5,335,335 Nm
TOYOTA,HILUX GR SPORT,2755,,224,170,10,50000,P,5,500,500 Nm
TOYOTA,ALPHARD EXECUTIVE LOUNGE,2975,,296,180,8.5,60000,P,7,400,400 Nm
TOYOTA,FORTUNER GR SPORT,2755,,204,175,10.5,55000,P,7,500,500 Nm
TOYOTA,INNOVA HYCROSS,1987,,184,165,9.5,40000,H,7,250,250 Nm
TOYOTA,COASTER,4009,,134,120,6.5,70000,D,20,500,500 Nm
TOYOTA,URBAN CRUISER TAISOR,1490,,114,170,11,25000,P,5,130,130 Nm
TOYOTA,AYGO X,998,,71,160,14.8,18000,P,4,93,93 Nm
TOYOTA,HILUX REVO ROCCO,2755,,204,175,10,50000,D,5,500,500 Nm
TOYOTA,PROACE VERSO ELECTRIC,,75,136,130,13.5,55000,E,7,280,280 Nm
TOYOTA,CENTURY SUV,3456,,406,200,6,170000,P,5,500,500 Nm
TOYOTA,COROLLA SEDAN HYBRID,1798,,134,180,10,24000,H,5,300,300 Nm
TOYOTA,BZ3,,65,241,160,7.5,35000,E,5,340,340 Nm
TOYOTA,GR YARIS,1618,,268,230,5.5,45000,P,4,390,390 Nm
HYUNDAI,SANTA FE,1600,,253,180,9.3,50000,H,7,420,420 Nm
HYUNDAI,IONIQ 5,,72.6,225,185,7.4,41000,E,5,350,350 Nm
HYUNDAI,Santa Cruz,2500,,281,215,6.5,40799,P,5,400,400 Nm
HYUNDAI,Kona,1591,,147,185,7.5,20500,H,5,400,400 Nm
HYUNDAI,Elantra,2000,,147,210,8.3,19950,H,5,250,250 Nm
Nissan,Urvan,,,2488,140,14,28000,D,15,356,356 Nm
HYUNDAI,IONIQ 6,,65.5,320,185,5.2,41450,E,5,350,350 Nm
HYUNDAI,Tucson,2500,,187,180,6.1,30500,H,5,400,400 Nm
HYUNDAI,Palisade,3800,,291,240,6.3,52000,P,7,355,355 Nm
HYUNDAI,Sonata,2500,,191,240,8,25000,H,5,250,250 Nm
HYUNDAI,Accent,1600,,120,180,9.8,15000,P,5,151,151 Nm
HYUNDAI,Venue,1600,,121,180,9.5,18000,P,5,240,240 Nm
HYUNDAI,KONA Electric,,39.2,200,200,6.1,40000,E,5,395,395 Nm
HYUNDAI,Veloster,2000,,275,220,6,25000,P,4,264,264 Nm
HYUNDAI,NEXO,,1.56,161,180,7.8,38000,HD,5,400,400 Nm
HYUNDAI,Ioniq,1600,,139,160,8.5,18000,H,5,295,295 Nm
HYUNDAI,Genesis,3800,,291,240,6.3,52000,P,5,400,400 Nm
HYUNDAI,Azera,3300,,278,240,6.5,55000,P,5,250,250 Nm
HYUNDAI,Equus,3300,,278,240,6.5,55000,P,5,400,400 Nm
HYUNDAI,Tiburon,2000,,160,200,8.2,19000,P,4,320,320 Nm
HYUNDAI,Elantra GT,2000,,160,200,8.3,22000,P,5,320,320 Nm
Volkswagen,Golf,1498,49,215,210,8.5,23000,P,5,250,250 Nm
Volkswagen,Passat,1984,,215,210,7.8,25000,P,5,250,250 Nm
Volkswagen,Tiguan,1984,,190,209,8.5,28505,H,7,300,300 Nm
Volkswagen,Jetta,1498,,189,210,7.7,21995,P,5,250,250 Nm
Volkswagen,Polo,1298.5,,140,190,9.5,18000,P,5,175,175 Nm
Volkswagen,Arteon,1984,,215,250,5.6,46000,P,5,350,350 Nm
Volkswagen,ID.4,,77,252,160,7.8,39735,E,5,310,310 Nm
Volkswagen,Up!,,32.3,82,160,13,15000,P,4,95,95 Nm
Volkswagen,Touareg,3461.5,,366,235,5.9,55000,P,5,600,600 Nm
Volkswagen,Scirocco,1984,,202,233,6,35000,P,4,350,350 Nm
Volkswagen,Beetle,1984,,158,205,7,20000,P,4,240,240 Nm
Volkswagen,Amarok,2967,,210,180,7.9,40000,D,5,550,550 Nm
Volkswagen,T-Roc,1984,,208,205,7.2,30000,P,5,320,320 Nm
Volkswagen,Sharan,1984,,185,200,9.3,33000,P,7,280,280 Nm
Volkswagen,Caddy,1498,,126,185,10.5,28000,P,7,250,250 Nm
Nissan,NV1500,3954,,261,160,9.5,33000,P,12,385,385 Nm
Volkswagen,Taigo,1498,,122,183,10,24000,P,5,200,200 Nm
Volkswagen,California,1984,,177,180,13,70000,D,7,340,340 Nm
Volkswagen,ID.3,,67.5,204,160,7.3,35000,E,5,310,310 Nm
Volkswagen,ID. Buzz,,77,204,145,10.2,59995,E,7,310,310 Nm
Volkswagen,Golf GTI,1984,,245,250,5.9,31965,P,5,350,350 Nm
Volkswagen,Golf R,1984,,315,250,4.6,44640,P,5,420,420 Nm
Volkswagen,Passat Alltrack,1968,,215,220,7.8,36000,D,5,400,400 Nm
Volkswagen,Polo GTI,1984,,204,238,6.7,28000,P,5,320,320 Nm
Volkswagen,Up! GTI,999,,115,196,8.8,20000,P,4,200,200 Nm
Volkswagen,T-Cross,1248.5,,122,200,10.2,25000,P,5,250,250 Nm
Volkswagen,ID.5,,77,236,180,8.4,45000,E,5,310,310 Nm
Volkswagen,ID. Buzz Cargo,,77,204,145,10.2,55000,E,3,310,310 Nm
Volkswagen,Touareg R,2995,,462,250,5.1,70000,H,5,700,700 Nm
Volkswagen,Multivan,1681.5,,184,190,9.4,50000,H,7,350,350 Nm
Volkswagen,Polo BlueMotion,1199,,85,190,10.5,22000,D,5,250,250 Nm
Volkswagen,Golf Sportsvan,1498,,140,210,8.9,30000,P,5,250,250 Nm
Volkswagen,Golf Alltrack,1968,,174,210,7.1,35000,P,5,350,350 Nm
Volkswagen,Scirocco R,1984,,280,250,5.5,40000,P,4,350,350 Nm
Volkswagen,Tiguan Allspace,1984,,207,215,7.6,35000,P,7,320,320 Nm
Volkswagen,Arteon 4MOTION,1984,,255,250,5.6,48000,P,5,350,350 Nm
Volkswagen,ID.4 GTX,,77,299,180,6.2,50000,E,5,460,460 Nm
Volkswagen,ID.3 Pro,,58,204,160,7.3,35000,E,5,310,310 Nm
Volkswagen,Golf Variant,1733,,140,220,7.5,32000,P,5,320,320 Nm
Volkswagen,Crafter,1968,,140,160,13,40000,D,3,410,410 Nm
Volkswagen,Lupo,1294.5,,68,170,14.3,15000,P,4,120,120 Nm
